ticker,name,sector,price,adv20,surge_score,readiness,explosiveness,fuel,catalyst,setup_type,ann_vol,max_5d_gain_1y,big_up_days,ret_5d,rvol,dist_52wh,atr_pctile,bb_pctile,nr7,short_pct_float,days_to_cover,float_shares,analyst_score,target_upside,binary_target,low_coverage,extended
DDD,3D Systems Corporation,Technology,3.7200000286102295,17956620.16424775,62.84559092702639,37.7,77.84232511376118,86.60142388888889,62.15613708832125,squeeze_fuel,0.9780625146873702,0.4463276668734757,16,0.18095235428121792,2.1710893128954156,0.9687500291038311,0.63,0.92,False,0.3114,10.38,140587185,49.30555555555556,0.3440860111681159,False,False,False
UAMY,United States Antimony Corporat,Basic Materials,9.260000228881836,123287395.27240515,62.83971618047292,30.731392438001006,100.0,47.21056794444444,80.59394953394576,fresh_coil,1.3185927452524728,1.0655128268603722,35,0.09976248752691408,0.7875258584657927,0.46981231146665925,0.35,0.76,False,0.21290001,2.15,130244902,75.0,0.36393085181652296,False,False,False
SEI,"Solaris Energy Infrastructure, ",Energy,68.69999694824219,178071772.0931244,62.34176548131471,66.27254294234369,52.62403706055385,67.08824294444445,61.72515532537315,squeeze_fuel,0.7379229217061567,0.2957599511979472,7,-0.07499663318409766,0.8256342863672836,0.8456425252920915,0.29,0.1,False,0.21790001,5.24,55430827,71.42857142857143,0.17481810167773393,False,False,False
CODI,D/B/A Compass Diversified Holdi,Industrials,10.989999771118164,10908632.618846893,62.14407201079887,70.21489093437567,56.55848007273924,41.75298388888889,71.39103979386849,fresh_coil,0.6979623906982878,0.4296407838546361,5,-0.04101223956931199,0.5590213436429662,0.869461983592728,0.41,0.1,False,0.0671,4.7,62858145,60.714285714285715,0.36487718948094594,False,False,False
GEMI,"Gemini Space Station, Inc.",Financial Services,5.159999847412109,14658049.697594643,61.43977838119085,41.042035164283696,81.18132232619533,55.07951683333333,72.91666666666667,fresh_coil,1.0529297214811082,0.5089722393657148,6,0.0,0.6628252404998634,0.11244279616565146,0.41,0.0,False,0.16239999,3.53,34719335,58.333333333333336,0.8682171095091684,False,False,False
FNKO,"Funko, Inc.",Consumer Cyclical,5.590000152587891,4915607.991218567,61.132909047119895,70.46777975853064,71.03074240513739,54.23928644444443,49.795231165481134,fresh_coil,0.808191749150213,0.45555553053632125,10,0.07293668170030787,0.8384941804716016,0.9178981958173631,0.43,0.37,True,0.1094,5.64,37196422,60.714285714285715,0.11806794801366194,False,False,False
USAR,"USA Rare Earth, Inc.",Basic Materials,29.43000030517578,460054246.0972023,61.011879125853135,52.1274402375218,100.0,24.442778222222223,68.2836380338405,fresh_coil,1.2303546938262644,0.6445607666942099,28,0.1632411538600138,1.302762720324523,0.6691678174510345,0.2,0.34,False,0.1174,1.2,176304996,75.0,0.22324157752960572,False,False,False
NUCL,Eagle Nuclear Energy Corp.,Energy,10.479999542236328,4198557.509393692,60.96860684740246,75.54607530367691,90.22580431179998,41.29811696969696,40.0,fresh_coil,1.6193663465631083,0.4778225538974996,10,-0.1230125766101754,0.6452052980663904,0.7369901086806426,0.25,0.0,True,,1.31,36839321,,,False,True,False
TYGO,"Tigo Energy, Inc.",Technology,3.819999933242798,2978207.6554870605,60.934627813177585,47.52052219824223,91.44849502963564,24.443860738888887,78.33333333333334,fresh_coil,1.007591138166802,1.2727273290244594,15,-0.08173075159625831,1.0103068673471092,0.717101526568118,0.36,0.42,False,0.014099999,0.94,28650252,66.66666666666667,0.7539267322217911,False,False,False
CIFR,Cipher Digital Inc.,Technology,24.010000228881836,586858285.4392624,60.607056397515336,52.36712485006633,84.87316622416952,31.665001500000002,71.96428465887178,fresh_coil,1.084061838935818,0.47532466728222,23,0.09285393624420046,0.906162130871494,0.9393584010388633,0.46,0.73,False,0.16350001,2.04,333833231,75.0,0.26530611038710594,False,False,False
